BD,nom algo,cross validation
c+g,Bayes,0.70 (+/- 0.11)
c+g,regression logistique,0.56 (+/- 0.14)
c+g,svc,0.58 (+/- 0.11),0.925
c+g,foret_aleatoire,0.69 (+/- 0.16)
c+i,Bayes,0.69 (+/- 0.19),0.6333333333333333
c+rf,Bayes,0.77 (+/- 0.09)
c+rf,foret_aleatoire,0.76 (+/- 0.13)
c+i+rf,foret_aleatoire,0.66 (+/- 0.10)
c+i+rf,Bayes,0.65 (+/- 0.08)
c+g+rf,foret_aleatoire,0.73 (+/- 0.14)
c+g+rf,Bayes,0.74 (+/- 0.13)
rot,Bayes,0.73 (+/- 0.11)
rot,foret_aleatoire,0.75 (+/- 0.13)
rot+g,Bayes,0.69 (+/- 0.10)
rot+g,foret_aleatoire,0.72 (+/- 0.08)
rot+g,foret_aleatoire,0.72 (+/- 0.08)
multirot,foret_aleatoire,0.75 (+/- 0.09)
multirot,foret_aleatoire,0.76 (+/- 0.07)
multirot,foret_aleatoire,0.75 (+/- 0.13)
